date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:28	49203/49203	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2007:08:38%20GMT	https://htmldesigntemplates.com/html/epathsala/index-2.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/index-2.html	(from )
11:13:30	137/137	---MCZ	200	added ('OK')	text/plain	date:Wed,%2010%20Sep%202025%2005:43:29%20GMT	https://htmldesigntemplates.com/robots.txt		(from )
11:13:31	24925/24925	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Oct%202021%2006:36:32%20GMT	https://htmldesigntemplates.com/html/epathsala/images/cropped-epathsala_favicon-192x192.png	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/images/cropped-epathsala_favicon-192x192.png	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:33	74220/74220	---MCZ	200	added ('OK')	text/css	date:Mon,%2031%20Oct%202022%2007:49:39%20GMT	https://htmldesigntemplates.com/html/epathsala/css/style.css	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/css/style.css	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:33	198404/198404	---MCZ	200	added ('OK')	text/css	date:Mon,%2031%20Oct%202022%2007:49:37%20GMT	https://htmldesigntemplates.com/html/epathsala/css/bootstrap.min.css	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/css/bootstrap.min.css	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:34	111850/111850	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Oct%202021%2006:36:11%20GMT	https://htmldesigntemplates.com/html/epathsala/css/plugin.css	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/css/plugin.css	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:35	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/Abdul%20kalam%20TNPSC/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:36	56842/56842	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-de0a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.min.css	D:/Abdul%20kalam%20TNPSC/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.min.css	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:37	46042/46042	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2007:08:41%20GMT	https://htmldesigntemplates.com/html/epathsala/index.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/index.html	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:38	31350/31350	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Oct%202021%2006:36:53%20GMT	https://htmldesigntemplates.com/html/epathsala/images/logo.png	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/images/logo.png	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:38	45053/45053	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2007:08:39%20GMT	https://htmldesigntemplates.com/html/epathsala/index-3.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/index-3.html	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:39	25276/25276	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Nov%202021%2011:24:03%20GMT	https://htmldesigntemplates.com/html/epathsala/about.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/about.html	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:39	26745/26745	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Nov%202021%2011:24:04%20GMT	https://htmldesigntemplates.com/html/epathsala/course-1.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/course-1.html	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:40	23468/23468	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Nov%202021%2011:24:04%20GMT	https://htmldesigntemplates.com/html/epathsala/course-2.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/course-2.html	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:46	28662/28662	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Nov%202021%2011:24:05%20GMT	https://htmldesigntemplates.com/html/epathsala/course-detail.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/course-detail.html	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:47	25419/25419	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Nov%202021%2011:24:06%20GMT	https://htmldesigntemplates.com/html/epathsala/event.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/event.html	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:47	23430/23430	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Oct%202021%2006:36:13%20GMT	https://htmldesigntemplates.com/html/epathsala/event-detail.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/event-detail.html	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:49	18001/18001	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2008:12:27%20GMT	https://htmldesigntemplates.com/html/epathsala/gallery.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/gallery.html	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:49	16455/16455	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Oct%202021%2006:37:11%20GMT	https://htmldesigntemplates.com/html/epathsala/instructors.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/instructors.html	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:50	19791/19791	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Nov%202021%2011:24:09%20GMT	https://htmldesigntemplates.com/html/epathsala/pricing.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/pricing.html	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:55	22391/22391	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Nov%202021%2011:24:11%20GMT	https://htmldesigntemplates.com/html/epathsala/testimonial.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/testimonial.html	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
11:13:56	28688/28688	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Nov%202021%2011:24:07%20GMT	https://htmldesigntemplates.com/html/epathsala/faq.html	D:/Abdul%20kalam%20TNPSC/htmldesigntemplates.com/html/epathsala/faq.html	(from https://htmldesigntemplates.com/html/epathsala/index-2.html)
